,0
im,868
like,816
dont,685
one,564
think,504
time,457
istj,441
know,441
thing,424
people,421
would,416
get,353
really,338
ive,326
friend,291
type,280
say,277
well,264
want,260
much,259
make,254
http,253
good,251
something,235
see,234
way,230
year,222
feel,214
work,209
also,204
never,200
always,192
even,190
go,190
two,184
though,184
hundred,181
thats,175
could,173
someone,172
love,170
day,165
person,163
lot,158
relationship,155
sure,154
youre,154
need,152
thread,151
life,151
look,150
going,148
find,148
first,148
thought,147
still,143
feeling,141
pretty,141
post,140
take,139
actually,131
cant,130
right,128
yes,128
doesnt,127
id,127
many,125
read,119
anything,119
mean,118
didnt,118
question,118
long,117
said,117
try,116
got,114
around,114
back,114
others,113
forum,111
best,109
trying,109
come,108
thanks,108
use,108
sound,108
guy,107
help,106
kind,105
probably,104
last,104
istjs,104
usually,103
ill,101
school,99
maybe,99
since,99
thinking,98
problem,97
twenty,96
test,96
give,96
might,95
talk,94
ever,93
hate,92
great,92
welcome,90
happy,89
keep,89
better,88
point,87
enjoy,87
understand,87
part,86
sometimes,86
guess,85
thousand,85
answer,84
job,84
reason,84
lol,84
let,83
intp,82
new,82
nine,81
little,81
personality,81
bit,80
definitely,80
every,79
thank,78
mind,78
may,76
tell,76
introverted,76
three,76
used,76
nothing,75
seems,75
four,74
put,73
five,73
however,73
hard,72
function,72
enfp,72
another,72
quite,71
show,71
idea,71
yeah,71
mbti,70
done,70
different,70
enough,69
made,69
close,69
game,68
stuff,68
everyone,68
agree,67
high,67
everything,67
care,67
else,66
intj,66
nice,65
ask,65
talking,65
infj,65
end,65
seem,64
tend,63
si,63
old,63
favorite,62
getting,62
week,62
experience,62
reading,61
word,61
book,61
seventy,61
thirty,60
infp,60
fun,60
girl,60
ago,60
six,60
isnt,60
least,60
interesting,60
almost,59
issue,59
often,59
bad,59
saying,59
hello,58
wouldnt,58
le,58
fact,58
believe,57
away,57
example,57
start,56
without,56
kid,56
especially,56
class,56
place,56
family,56
situation,56
anyone,55
shes,55
oh,55
change,55
woman,55
ne,55
month,55
exactly,55
group,54
wrong,54
money,54
head,54
fe,54
sixty,54
sense,54
xd,53
isfj,53
seen,52
story,52
found,52
music,52
today,52
female,52
havent,52
far,51
rant,51
personally,51
fi,51
alone,51
interested,51
fifty,51
either,51
true,51
sorry,51
rather,50
ni,50
hour,50
took,50
laughing,49
past,49
advice,49
wasnt,49
yet,49
conversation,49
looking,48
extraverted,48
home,48
told,48
world,48
male,48
wont,48
theyre,48
big,48
real,47
cool,47
self,46
hope,46
forty,46
interest,46
recently,45
crazy,45
ti,45
already,45
wanted,45
istp,45
went,44
eighty,44
personal,44
ninety,44
college,44
name,44
movie,44
second,44
haha,43
whats,43
live,43
side,43
remember,43
case,42
possible,42
break,42
te,42
started,42
party,42
etc,42
making,42
important,42
sort,41
ten,41
result,41
play,41
inferior,41
came,41
left,41
dominant,41
playing,41
song,40
opinion,40
along,40
entp,40
picture,40
working,40
eight,40
using,40
based,40
hear,40
strong,39
sensing,39
arent,39
tried,39
consider,38
emotion,38
fit,38
asked,38
matter,38
absolutely,38
learn,38
couple,38
character,38
plan,37
short,37
eye,37
house,37
late,37
taking,37
car,36
must,36
completely,36
seven,36
unless,36
intuition,36
coming,36
although,36
mine,36
cry,36
asking,36
language,36
course,36
stop,36
whatever,35
mother,35
normal,35
social,35
date,35
call,35
isfp,35
next,35
prefer,35
liked,34
called,34
age,34
wish,34
night,34
knew,34
brother,34
parent,34
meet,33
curious,33
small,33
face,33
given,33
value,33
whether,33
ok,33
cause,33
term,33
serious,33
stay,33
become,33
esfp,33
future,33
generally,33
view,33
comment,32
posted,32
open,32
honest,32
likely,32
tongue,32
watch,32
met,32
whole,32
se,32
please,32
deal,31
rule,31
enneagram,31
trust,31
listen,31
certain,31
dating,31
hmm,30
funny,30
mostly,30
difficult,30
list,30
child,30
eat,30
esfj,30
wink,30
relate,30
heard,30
drink,30
saw,30
learning,30
easy,30
negative,30
writing,30
emotional,30
anyway,30
taken,30
trouble,29
ended,29
contact,29
awesome,29
together,29
online,29
text,29
mom,29
similar,29
man,29
able,29
black,29
description,29
introvert,28
understanding,28
process,28
rave,28
general,28
cognitive,28
reply,28
finally,28
leave,28
estj,28
felt,28
sad,28
girlfriend,28
fine,28
older,28
half,28
computer,28
sleep,28
hi,27
depends,27
message,27
difference,27
follow,27
random,27
common,27
fifteen,27
human,27
information,27
level,27
deep,26
loved,26
cat,26
boring,26
appreciate,26
wow,26
math,26
physical,26
living,26
figure,26
belief,26
dog,26
proud,26
trait,26
state,26
noticed,26
sister,26
couldnt,26
subject,26
seriously,26
totally,26
turn,25
currently,25
detail,25
sex,25
joke,25
several,25
direct,25
avoid,25
member,25
twelve,25
order,25
control,25
response,25
hey,25
auxiliary,25
dad,25
topic,25
needed,25
video,25
wonder,25
friendship,25
easily,25
clear,25
fear,24
gift,24
perhaps,24
set,24
food,24
minute,24
check,24
posting,24
okay,24
spend,24
law,24
seeing,24
comfortable,24
non,24
degree,24
company,24
hair,24
amount,24
meant,24
worry,23
sign,23
anymore,23
weird,23
wait,23
hurt,23
top,23
youve,23
extremely,23
decision,23
constantly,23
page,23
area,23
number,23
write,23
cold,23
act,23
giving,23
instead,23
tertiary,23
specific,23
phone,23
estp,23
mood,23
site,23
wing,22
kinda,22
lost,22
war,22
logical,22
ex,22
dislike,22
add,22
run,22
fall,22
average,22
busy,22
romantic,22
religious,22
afraid,22
fourteen,22
opposite,22
wear,21
longer,21
hand,21
ability,21
full,21
gave,21
history,21
changed,21
note,21
moment,21
enfj,21
move,21
bored,21
sx,21
hold,21
bother,21
married,21
stick,21
project,21
simply,21
attention,21
due,21
teacher,21
lack,20
positive,20
light,20
sent,20
religion,20
behavior,20
action,20
mentioned,20
dream,20
share,20
straight,20
room,20
wife,20
quote,20
except,20
hug,20
internet,20
later,20
describe,20
husband,20
gone,19
smile,19
effort,19
water,19
following,19
chance,19
major,19
across,19
glass,19
step,19
single,19
special,19
happens,19
study,19
correct,19
speaking,19
watching,19
hot,19
brain,19
political,19
sp,19
worth,19
suppose,19
stress,19
respect,19
decided,19
quality,19
unsure,19
suggestion,19
early,19
tax,18
birthday,18
death,18
notice,18
accept,18
student,18
boyfriend,18
finding,18
honestly,18
super,18
basically,18
private,18
art,18
possibly,18
intps,18
growing,18
power,18
middle,18
enfps,18
body,18
user,18
public,18
white,18
theory,18
perspective,18
tv,18
socionics,18
facebook,18
glad,18
drive,18
men,17
explain,17
finished,17
gotten,17
happen,17
damn,17
respond,17
pay,17
whenever,17
style,17
known,17
happened,17
watched,17
confused,17
conclusion,17
typing,17
touch,17
sixteen,17
stupid,17
line,17
speak,17
store,17
pick,17
rarely,17
somewhat,17
system,17
god,17
quiet,17
involved,17
worked,17
focus,17
dear,17
op,17
grade,16
business,16
awkward,16
particularly,16
blue,16
free,16
huge,16
choice,16
fellow,16
marriage,16
edit,16
worker,16
dead,16
somebody,16
bring,16
dark,16
support,16
event,16
angry,16
goal,16
pain,16
perc,16
young,16
buy,16
youd,16
mad,16
handle,16
basic,16
forgot,16
natural,16
original,16
science,16
younger,16
band,16
english,16
taste,16
outside,16
heart,16
extrovert,16
skill,16
mental,16
sport,16
putting,15
morning,15
certainly,15
learned,15
imagine,15
eleven,15
summer,15
genre,15
doubt,15
rock,15
shocked,15
alot,15
co,15
disorder,15
compliment,15
driving,15
moral,15
telling,15
plenty,15
odd,15
moved,15
fast,15
country,15
society,15
avatar,15
born,15
photo,15
version,15
aspect,15
fan,15
stand,15
university,15
argument,15
profile,15
individual,15
quickly,15
extreme,15
purpose,15
count,15
standard,15
identify,15
yesterday,15
partner,15
weve,15
evil,15
trump,15
sensitive,14
emotionally,14
stuck,14
listening,14
accurate,14
na,14
clean,14
literally,14
tapatalk,14
earlier,14
current,14
strongly,14
forget,14
leader,14
intuitive,14
exact,14
ah,14
specifically,14
stereotype,14
animal,14
clearly,14
brought,14
unhealthy,14
entj,14
input,14
tradition,14
aware,14
infps,14
period,14
amazing,14
account,14
hell,14
according,14
fair,14
exam,14
knowing,14
dry,14
seemed,14
excuse,14
among,14
shit,14
red,14
inside,14
expected,14
moving,14
context,14
creative,14
sick,14
doctor,14
dated,13
preference,13
somehow,13
depending,13
intelligence,13
within,13
card,13
health,13
send,13
bed,13
lady,13
communication,13
naturally,13
reaction,13
office,13
effect,13
waste,13
distance,13
letter,13
hit,13
supposed,13
worst,13
forced,13
miss,13
normally,13
everyday,13
church,13
setting,13
written,13
track,13
american,13
statement,13
link,13
practical,13
strange,13
front,13
environment,13
suck,13
attractive,13
youll,13
broke,13
strategy,13
crap,13
adult,13
related,13
suggest,13
continue,13
space,13
entire,13
attracted,13
match,13
task,13
towards,13
played,13
wanting,13
simple,13
position,13
perfect,13
popular,13
discussion,13
infjs,13
colour,13
truth,13
obvious,13
throw,13
conservative,13
million,13
soon,12
calling,12
closest,12
turned,12
eighteen,12
research,12
otherwise,12
film,12
drunk,12
total,12
report,12
fake,12
logic,12
piece,12
christmas,12
hasnt,12
series,12
running,12
google,12
extroverted,12
sit,12
trip,12
typically,12
intjs,12
helpful,12
suddenly,12
kill,12
fight,12
hang,12
somewhere,12
thirteen,12
easier,12
recent,12
typed,12
shouldnt,12
color,12
fiction,12
realize,12
circle,12
starting,12
email,12
lead,12
fail,12
particular,12
soul,12
lived,12
communicate,12
energy,12
challenge,12
hardly,12
pc,12
disagree,12
approach,12
score,12
near,12
wrote,12
typical,12
display,12
data,12
