,0
im,791
like,763
think,586
people,563
dont,554
one,524
know,424
would,421
entj,414
thing,411
get,409
time,327
type,310
make,296
well,281
see,278
really,275
good,270
want,266
say,257
ive,245
way,244
much,235
friend,233
feel,232
http,229
youre,220
someone,200
go,197
life,196
also,194
thats,193
lot,192
find,184
something,184
always,183
right,178
even,176
person,175
need,175
work,171
entjs,169
love,168
thread,167
going,163
never,161
actually,160
mean,159
could,155
post,152
thought,151
cant,148
take,147
sure,146
though,145
question,145
year,143
guy,140
first,137
hundred,135
intj,134
yes,134
read,131
point,131
look,127
said,127
many,125
let,120
try,120
two,117
come,115
give,115
got,112
pretty,111
still,109
others,109
relationship,108
id,108
day,108
world,107
sound,106
function,104
lol,103
personality,103
feeling,103
tell,102
back,102
may,100
ill,100
better,100
understand,99
intp,99
anything,99
didnt,99
problem,98
might,97
around,97
probably,97
maybe,96
woman,96
doesnt,96
long,94
made,92
test,91
idea,91
little,90
help,90
yeah,89
trying,89
believe,89
quite,89
interesting,88
talk,88
part,87
everyone,87
hard,87
every,86
agree,86
thanks,85
seems,85
best,84
mind,83
infp,83
use,83
everything,83
seem,83
enfp,81
great,80
answer,80
kind,80
enough,80
five,79
te,79
situation,78
definitely,77
nothing,77
school,76
since,76
usually,76
word,75
reason,75
guess,74
least,74
sometimes,73
either,72
different,72
mbti,72
used,71
three,71
fi,71
high,71
ni,70
new,70
getting,68
bad,68
fact,68
true,68
thank,68
another,67
saying,67
self,67
care,66
haha,66
thousand,66
sense,66
looking,65
anyone,65
thinking,65
tend,64
sorry,64
entp,64
last,64
girl,64
forum,64
talking,64
ever,64
happy,64
experience,64
wrong,63
keep,63
rather,63
ask,63
often,62
isnt,62
start,61
infj,60
oh,60
put,60
hate,59
job,59
welcome,59
bit,58
big,58
making,58
fun,58
however,57
theyre,57
fe,57
enfj,57
opinion,56
exactly,56
without,56
example,56
shit,55
intjs,55
man,55
done,54
eight,54
case,54
change,54
book,53
especially,53
end,53
show,52
twenty,52
nice,52
enjoy,52
based,52
male,51
female,51
far,51
learn,51
se,51
already,51
shes,50
social,50
told,50
else,50
le,49
six,49
place,49
personal,49
possible,48
head,48
ti,48
estj,48
remember,47
likely,47
reading,47
movie,46
plan,46
emotion,46
matter,45
similar,45
thirty,45
brain,45
estp,44
istj,44
youve,44
able,44
deal,44
interested,44
class,44
call,44
found,44
along,44
away,44
stop,44
took,44
close,44
stuff,43
laughing,43
almost,43
fifty,43
yet,43
nine,43
working,43
god,42
seven,42
term,42
taking,42
men,42
side,42
become,41
whats,41
emotional,41
choice,41
fit,41
family,41
cool,41
whole,41
action,40
wouldnt,40
hand,40
live,40
general,40
common,40
group,39
consider,39
score,39
seriously,39
seen,39
week,39
esfj,39
met,39
personally,39
strong,39
difference,39
result,38
control,38
value,38
four,38
story,38
ne,38
whatever,37
hear,37
intps,37
response,37
hey,37
comment,37
clear,37
explain,37
topic,37
goal,37
crazy,37
isfj,37
completely,37
theory,37
past,37
given,37
wanted,37
kid,37
money,37
face,36
etc,36
second,36
okay,36
ago,36
funny,36
easy,36
sx,36
game,36
coming,36
wasnt,36
advice,35
interest,35
power,35
mostly,35
old,35
wont,35
although,35
totally,35
issue,35
ok,34
sixty,34
honestly,34
real,34
description,34
perhaps,34
view,34
hell,34
depends,34
list,34
ten,34
relate,34
must,33
month,33
nt,33
order,33
absolutely,33
date,33
play,33
name,33
business,33
respect,33
short,33
esfp,33
next,33
typing,33
sort,33
open,33
knew,33
felt,33
honest,33
understanding,33
prefer,33
arent,32
fine,32
character,32
sex,32
information,32
awesome,32
dear,32
happen,32
moment,32
speak,32
human,32
whether,32
cause,32
process,32
cognitive,31
share,31
small,31
introverted,31
anyway,31
came,31
conversation,31
hope,31
child,31
full,31
together,31
rule,30
hello,30
isfp,30
logical,30
sp,30
enneagram,30
difficult,30
music,30
run,30
istp,30
started,30
angry,30
career,30
havent,30
went,29
basically,29
proud,29
hi,29
giving,29
intuition,29
heard,29
using,29
free,29
tongue,29
set,29
favorite,28
generally,28
hurt,28
meet,28
seeing,28
line,28
course,28
telling,28
today,28
joke,28
tried,28
important,27
certain,27
due,27
night,27
study,27
enfps,27
ninety,27
lack,27
picture,27
level,27
quote,27
recently,27
argument,27
college,27
alone,27
